Product ID,Category,Sub Category,Color,Sizes,Production Cost
1,Feminine,Coats and Blazers,,S|M|L|XL,10.73
2,Feminine,Sweaters and Knitwear,PINK,S|M|L|XL,19.55
3,Feminine,Dresses and Jumpsuits,BLACK,S|M|L|XL,25.59
4,Feminine,Shirts and Blouses,,S|M|L|XL,27.62
5,Feminine,T-shirts and Tops,,S|M|L,11.69
6,Feminine,Pants and Jeans,,36|38|40|42|44|46,6.7
7,Feminine,Skirts and Shorts,,S|M|L,9.11
8,Feminine,Suits and Sets,,S|M|L,14.37
9,Feminine,Sportswear,,S|M|L|XL,29.04
10,Feminine,Pajamas,,S|M|L|XL,16.5
11,Feminine,Accessories,,,1.9
12,Masculine,Coats and Blazers,YELLOW,M|L|XL|XXL,33.22
13,Masculine,Sweaters and Sweatshirts,RED,M|L|XL|XXL,15.8
14,Masculine,T-shirts and Polos,,M|L|XL|XXL,8.36
15,Masculine,Shirts,,M|L|XL|XXL,6.87
16,Masculine,Pants and Jeans,,38|40|42|44|46|48,23.87
17,Masculine,Suits,,M|L|XL|XXL,40.81
18,Masculine,Sportswear,,M|L|XL|XXL,21.7
19,Masculine,Blazers,,M|L|XL|XXL,14.58
20,Masculine,Accessories,,,3.85
21,Children,Baby (0-12 months),TURQUOISE,P|M|G,11.21
22,Children,"Girl and Boy (1-5 years, 6-14 years)",,P|M|G|GG,7.41
23,Children,Coats,,P|M|G,12.56
24,Children,Sweaters,,P|M|G,13.46
25,Children,Pajamas-2,,P|M|G,13.83
26,Children,Accessories,,,5.37
27,Feminine,Coats and Blazers,LILAC,S|M|L|XL,20.37
28,Feminine,Sweaters and Knitwear,PINK,S|M|L|XL,28.09
29,Feminine,Dresses and Jumpsuits,WHITE,S|M|L|XL,20.79
30,Feminine,Shirts and Blouses,,S|M|L|XL,8.55
31,Feminine,T-shirts and Tops,,S|M|L|XL,1.86
32,Feminine,Pants and Jeans,,36|38|40|42|44|46,42.43
33,Feminine,Skirts and Shorts,,S|M|L|XL,2.76
34,Feminine,Suits and Sets,,S|M|L|XL,27.84
35,Feminine,Sportswear,,S|M|L|XL,6.5
36,Feminine,Pajamas,,S|M|L|XL,11.43
37,Feminine,Accessories,,,8.07
38,Masculine,Coats and Blazers,GREEN,M|L|XL|XXL,23.29
39,Masculine,Sweaters and Sweatshirts,RED,M|L|XL|XXL,5.24
40,Masculine,T-shirts and Polos,GOLD,M|L|XL|XXL,8.45
41,Masculine,Shirts,,M|L|XL|XXL,8.13
42,Masculine,Pants and Jeans,,38|40|42|44|46|48,13.28
43,Masculine,Suits,,M|L|XL|XXL,64.21
44,Masculine,Sportswear,,M|L|XL|XXL,22.16
45,Masculine,Blazers,,M|L|XL|XXL,6.55
46,Masculine,Accessories,SILVER,,1.65
47,Children,Baby (0-12 months),LILAC,P|M|G,13.27
48,Children,"Girl and Boy (1-5 years, 6-14 years)",NEUTRAL,P|M|G|GG,4.98
49,Children,Coats,MUSTARD,P|M|G,30.87
50,Children,Sweaters,,P|M|G,10.55
51,Children,Pajamas-2,,P|M|G,20.5
52,Children,Accessories,,,1.76
53,Feminine,Coats and Blazers,GREEN,S|M|L|XL,32.53
54,Feminine,Sweaters and Knitwear,WHITE,S|M|L|XL,24.84
55,Feminine,Dresses and Jumpsuits,BLUE,S|M|L|XL,13.71
56,Feminine,Shirts and Blouses,,S|M|L|XL,8.89
57,Feminine,T-shirts and Tops,,S|M|L|XL,4.75
58,Feminine,Pants and Jeans,,36|38|40|42|44|46,20.75
59,Feminine,Skirts and Shorts,,S|M|L|XL,16.26
60,Feminine,Suits and Sets,,S|M|L|XL,15.8
61,Feminine,Sportswear,,S|M|L|XL,11.1
62,Feminine,Pajamas,,S|M|L|XL,5.53
63,Feminine,Accessories,,,4.8
64,Masculine,Coats and Blazers,NEUTRAL,M|L|XL|XXL,12.02
65,Masculine,Sweaters and Sweatshirts,GREEN,M|L|XL|XXL,22.56
66,Masculine,T-shirts and Polos,SILVER,M|L|XL|XXL,2.6
67,Masculine,Shirts,,M|L|XL|XXL,14.08
68,Masculine,Pants and Jeans,,38|40|42|44|46|48,28.01
69,Masculine,Suits,,M|L|XL|XXL,19.2
70,Masculine,Sportswear,,M|L|XL|XXL,19.88
71,Masculine,Blazers,,M|L|XL|XXL,6.57
72,Masculine,Accessories,,,6.41
73,Children,Baby (0-12 months),BEIGE,P|M|G,11.08
74,Children,"Girl and Boy (1-5 years, 6-14 years)",MUSTARD,P|M|G|GG,8.11
75,Children,Coats,,P|M|G,6.73
76,Children,Sweaters,,P|M|G,12.33
77,Children,Pajamas-2,,P|M|G,12.52
78,Children,Accessories,,,2
79,Feminine,Coats and Blazers,BEIGE,S|M|L|XL,9.89
80,Feminine,Sweaters and Knitwear,GOLD,S|M|L|XL,15.31
81,Feminine,Dresses and Jumpsuits,YELLOW,S|M|L|XL,9.31
82,Feminine,Shirts and Blouses,,S|M|L|XL,6.72
83,Feminine,T-shirts and Tops,,S|M|L|XL,10.44
84,Feminine,Pants and Jeans,,36|38|40|42|44|46,21.14
85,Feminine,Skirts and Shorts,,S|M|L|XL,15.26
86,Feminine,Suits and Sets,,S|M|L|XL,52.4
87,Feminine,Sportswear,,S|M|L,25.05
88,Feminine,Pajamas,,S|M|L|XL,17.84
89,Feminine,Accessories,,,7.04
90,Masculine,Coats and Blazers,PINK,M|L|XL|XXL,28.48
91,Masculine,Sweaters and Sweatshirts,NEUTRAL,M|L|XL,21.63
92,Masculine,T-shirts and Polos,,M|L|XL|XXL,4.62
93,Masculine,Shirts,,M|L|XL|XXL,4.42
94,Masculine,Pants and Jeans,,38|40|42|44|46|48,4.56
95,Masculine,Suits,,M|L|XL,45.43
96,Masculine,Sportswear,,M|L|XL|XXL,13.37
97,Masculine,Blazers,,M|L|XL|XXL,18.51
98,Masculine,Accessories,,,7.15
99,Children,Baby (0-12 months),WHITE,P|M|G,11.15
100,Children,"Girl and Boy (1-5 years, 6-14 years)",GOLD,P|M|G|GG,21.91
101,Children,Coats,LILAC,P|M|G,30.53
102,Children,Sweaters,,P|M|G,17.83
